Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness
0,10.79,10.0,4900,32,18,0,89
1,10.37,10.3,4884,48,18,0,92
2,9.78,9.8,4893,40,17,0,90
3,9.83,9.6,4879,47,24,0,89
4,9.94,9.8,4839,80,31,0,84
5,9.38,9.0,4915,28,7,0,90
6,8.9,9.1,4894,45,11,0,90
7,9.27,9.5,4904,39,7,0,87
8,9.1,9.4,4920,21,9,0,92
9,11.52,9.8,4903,28,19,0,95
10,13.1,9.7,4893,38,19,0,94
11,13.22,9.6,4907,35,7,1,93
12,12.72,9.4,4880,51,19,0,96
13,11.03,8.9,4937,8,5,0,95
14,11.07,8.7,4927,17,6,0,98
15,10.88,8.9,4902,35,13,0,92
16,11.08,9.2,4884,42,24,0,95
17,11.11,9.2,4884,50,16,0,94
18,11.98,9.5,4892,41,16,1,96
19,12.29,9.7,4883,52,15,0,97
20,11.31,8.9,4915,22,12,1,94
21,12.39,9.6,4902,42,6,0,90
22,15.14,9.4,4899,40,11,0,93
23,13.48,9.5,4902,40,8,0,85
24,14.36,9.3,4931,14,5,0,90
25,12.86,9.5,4912,30,8,0,89
26,12.49,9.5,4913,23,14,0,91
27,12.55,9.6,4913,29,8,0,93
28,13.07,9.5,4928,19,3,0,91
29,13.53,10.0,4939,5,6,0,94
30,13.97,10.3,4933,13,4,0,94
31,13.42,9.8,4930,17,3,0,95
32,13.17,9.7,4932,11,7,0,93
33,13.1,9.9,4928,17,5,0,87
34,13.95,10.1,4906,13,31,0,90
35,14.54,10.1,4926,15,9,0,90
36,13.99,10.3,4926,13,11,0,89
37,14.52,10.5,4919,21,10,0,88
38,13.7,10.1,4923,19,8,0,82
39,15.73,11.6,4869,53,28,0,86
40,17.07,12.5,4835,78,36,1,86
41,16.37,11.9,4822,98,30,0,77
42,15.26,11.3,4867,67,16,0,91
43,16.01,11.9,4846,80,24,0,92
44,17.03,12.6,4790,120,40,0,87
45,15.05,11.1,4878,54,18,0,82
46,16.5,12.3,4792,123,35,0,85
47,16.53,12.5,4747,152,50,1,79
48,17.98,13.5,4682,211,57,0,73
49,17.66,13.1,4687,173,90,0,81
50,17.78,13.7,4647,191,112,0,76
51,16.24,12.3,4735,129,86,0,73
52,17.56,13.2,4759,108,83,0,78
53,18.63,13.7,4693,156,101,0,80
54,18.58,13.9,4602,241,107,0,81
55,17.43,13.2,4673,162,112,3,75
