Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness,Durchschnittliche Fitness
0,21.27,10.3,9782,93,24,1,-3534.0,-3881.7
1,23.03,11.5,9659,180,60,1,-3239.0,-3751.13
2,24.23,12.5,9450,328,122,0,-2512.5,-3590.785
3,25.1,13.6,9099,565,236,0,-2155.0,-3349.63
4,25.14,13.8,8809,798,293,0,-2167.0,-3185.99
5,25.64,14.3,8636,943,320,1,-1744.0,-3064.205
6,27.38,14.9,8404,1045,446,5,-577.0,-2911.885
7,26.43,14.6,8266,1271,361,2,-454.0,-2875.775
8,27.17,14.8,8107,1389,394,10,-809.0,-2789.705
9,26.72,14.5,7926,1543,430,1,-325.0,-2714.015
10,27.73,14.7,8200,1234,463,3,-1193.0,-2826.46
11,27.44,14.8,8147,1309,440,4,-1357.0,-2804.855
12,30.29,15.2,7852,1511,533,4,-1063.5,-2631.7
13,28.75,14.9,7758,1653,484,5,-1308.0,-2605.37
14,30.18,15.0,7724,1607,564,5,-662.5,-2577.34
15,28.54,15.4,7458,1785,654,3,-857.0,-2421.825
16,29.84,15.4,7585,1605,704,6,-1060.5,-2484.58
17,28.24,15.0,7183,2035,676,6,-1037.5,-2323.565
18,29.38,15.5,7406,1762,725,7,-862.5,-2380.02
19,29.27,15.5,7110,2062,722,6,-896.0,-2245.42
20,30.46,15.7,6838,2285,770,7,-993.5,-2108.98
21,30.28,15.9,6890,2186,816,8,-836.0,-2121.05
22,30.69,15.9,7070,2045,779,6,-839.5,-2216.775
23,29.39,15.6,6796,2350,749,5,-486.0,-2103.24
24,29.91,15.5,6482,2529,884,5,-543.5,-1956.91
25,28.6,15.3,6547,2548,800,5,-648.0,-2014.805
26,29.49,15.2,6337,2859,699,5,-590.0,-1933.3
27,28.62,14.9,6421,2853,623,3,-900.0,-2000.675
28,29.35,15.4,6486,2661,745,8,-848.0,-1980.98
29,35.7,15.5,6636,2447,815,2,-1006.0,-2025.77
30,31.44,15.9,6693,2333,867,7,-641.5,-2027.46
31,31.09,16.3,6820,2209,860,11,-647.0,-2053.725
32,31.32,15.9,6594,2432,869,5,-405.0,-1960.225
33,29.5,15.5,6568,2514,813,5,-696.5,-1977.14
34,29.99,15.4,6568,2577,749,6,-99.0,-1998.11
35,30.11,15.8,5931,2967,997,5,267.0,-1639.375
36,30.9,15.9,5852,3071,972,5,-407.0,-1595.15
37,32.07,16.5,5619,3206,1060,15,-156.0,-1420.17
38,32.19,16.7,5698,3164,1018,20,22.5,-1434.08
39,31.77,16.2,5403,3503,970,24,577.0,-1351.43
40,31.23,16.3,5694,3142,1055,9,-198.5,-1468.5
41,31.38,16.4,4965,3813,1114,8,507.0,-1093.39
42,31.97,16.7,4500,4195,1198,7,654.0,-829.275
43,31.59,16.6,4255,4450,1179,16,1099.5,-740.31
44,33.0,16.9,4421,4228,1229,22,517.0,-784.53
45,31.96,16.8,4379,4318,1189,14,563.5,-775.455
46,32.44,16.5,4513,4183,1189,15,753.5,-861.4
47,31.36,16.3,3737,4997,1154,12,955.5,-518.6
48,31.27,16.0,3605,5185,1100,10,1114.5,-466.07
